id,datum,open_meteo_radiation,kmi_radiation_avg,kaggle_radiation_avg
775,2022-02-13 00:00:00,78.0416666667,,95.58
776,2022-02-14 00:00:00,83.2916666667,,49.77
777,2022-02-15 00:00:00,75.4166666667,,85.865
778,2022-02-16 00:00:00,44.4166666667,,24.935
779,2022-02-17 00:00:00,98.625,,71.41
780,2022-02-18 00:00:00,31.6666666667,,23.97
781,2022-02-19 00:00:00,89.4583333333,,83
782,2022-02-20 00:00:00,18.1666666667,,15.96
783,2022-02-21 00:00:00,54.0416666667,,34.19
784,2022-02-22 00:00:00,33.2916666667,,37.73
785,2022-02-23 00:00:00,111.8333333333,,132.59
786,2022-02-24 00:00:00,71.2916666667,,65.56
787,2022-02-25 00:00:00,105.5416666667,,75.275
788,2022-02-26 00:00:00,125.625,,130.085
789,2022-02-27 00:00:00,138.2916666667,,154.96
790,2022-02-28 00:00:00,142.25,,155.21
791,2022-03-01 00:00:00,43.0833333333,,85.825
792,2022-03-02 00:00:00,94.6666666667,,110.155
793,2022-03-03 00:00:00,145.1666666667,,153.725
794,2022-03-04 00:00:00,151.2916666667,,162.605
795,2022-03-05 00:00:00,154.25,,157.95
796,2022-03-06 00:00:00,133.9166666667,,152.245
797,2022-03-07 00:00:00,152.4166666667,,173.16
798,2022-03-08 00:00:00,161.125,,174.75
799,2022-03-09 00:00:00,159.7916666667,,171.91
800,2022-03-10 00:00:00,164.3333333333,,170.88
801,2022-03-11 00:00:00,153.7083333333,,151.06
802,2022-03-12 00:00:00,115.5833333333,,113.105
803,2022-03-13 00:00:00,146.75,,120.82
804,2022-03-14 00:00:00,113.625,,108.705
805,2022-03-15 00:00:00,90.5833333333,,49.305
806,2022-03-16 00:00:00,120.2916666667,,83.49
807,2022-03-17 00:00:00,167.2083333333,,60.445
808,2022-03-18 00:00:00,181.0833333333,,200.6
809,2022-03-19 00:00:00,185.375,,202.02
810,2022-03-20 00:00:00,150.8333333333,,144.3
811,2022-03-21 00:00:00,180.5833333333,,184.97
812,2022-03-22 00:00:00,188.875,,188.635
813,2022-03-23 00:00:00,195.9166666667,,200.905
